序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
85,292064017793,295731940928,75533144,官方唯一指定小刘,6,保密,不要听他们学什么补课班，所有的工作最重要的是社交，有一个好的领导和朋友，不管是方向还是资源都是很可观的。做题区被骂是有道理的。所以工作和全日制学习都很重要。,2026-03-16 19:12:10,0,0,人生在世，琐事繁碎。争议即停，心放万维。,江苏,否,https://i0.hdslb.com/bfs/baselabs/e3df5f8ec32c19743de241a4b8449c5c628a2172.png
86,294571786848,295831225344,241373049,JK羅琳,6,保密,回复 @fickmfg : 香港性价比高吗 香港一年学费加生活费怎么也要30以上了啊,2026-03-17 17:59:09,0,0,ⓘ请允许我们在此献上最后的告别，以此纪念其在哔哩哔哩留下的回忆与足迹。,广东,否,https://i0.hdslb.com/bfs/face/c3b1c31469bee88ccafb9b5d2ddcb6f2d5b22a60.jpg
87,295831225344,295831793424,85749545,fickmfg,6,保密,回复 @JK羅琳 :主流地区最便宜，和澳洲美国英国比便宜很多了。每年去欧陆日韩的人数还是没法和这些地区的比，学历在国内的解释成本比主流地区的名校高。不过我感觉很快就不是最便宜的了，今年港大的工科学费都涨到接近40w港币，明年还得涨。,2026-03-17 18:12:31,0,0,,山东,是,https://i2.hdslb.com/bfs/face/d5cd3ece8b26f3687d74bece612f7e1ec5fe50d9.jpg
88,295831793424,295831929376,241373049,JK羅琳,6,保密,回复 @fickmfg : 搞笑吧 不懂就别乱说了 留学成本第一梯度美英 第二梯度就该加拿大澳洲瑞士香港了 日韩德法之类的国家便宜多了,2026-03-17 18:15:24,0,0,ⓘ请允许我们在此献上最后的告别，以此纪念其在哔哩哔哩留下的回忆与足迹。,广东,否,https://i0.hdslb.com/bfs/face/c3b1c31469bee88ccafb9b5d2ddcb6f2d5b22a60.jpg
89,295831929376,295831957456,85749545,fickmfg,6,保密,回复 @JK羅琳 :有问题吗，我排除了欧陆和日韩啊。香港是不是比英美澳便宜，如果你不是商科或者港大的，那成本就是最低的。，比新加坡还便宜。,2026-03-17 18:19:00,0,0,,山东,是,https://i2.hdslb.com/bfs/face/d5cd3ece8b26f3687d74bece612f7e1ec5fe50d9.jpg
90,295831957456,295832274832,241373049,JK羅琳,6,保密,回复 @fickmfg :好吧晚上眼瞟了看差了，但是能留学的国家总共不也就这些么。至于香港比新加坡便宜我不认可，无论是学费还是生活费香港普遍逗比新加坡更贵,2026-03-17 18:26:44,0,1,ⓘ请允许我们在此献上最后的告别，以此纪念其在哔哩哔哩留下的回忆与足迹。,广东,否,https://i0.hdslb.com/bfs/face/c3b1c31469bee88ccafb9b5d2ddcb6f2d5b22a60.jpg
91,295832274832,295832769184,85749545,fickmfg,6,保密,回复 @JK羅琳 :那也得分学校，去ust上学附近便宜房子大把。hku附近房子就贵，食宿成本比ntu和nus高。cuhk甚至都能住深圳。学费这块港科港中文很多理工科和人文社科项目的费用都比新二的低。mphil和meng的话，香港这边开销就很低了。新加坡那边全奖名额太少了，至少我能拿ust的offer新二那边不要，自费读研究型新加坡那边还要比msc贵一截。,2026-03-17 18:42:11,0,0,,山东,是,https://i2.hdslb.com/bfs/face/d5cd3ece8b26f3687d74bece612f7e1ec5fe50d9.jpg
92,292064017793,293511880737,473143260,我心澎湃nnnn,6,保密,陕西有末9吗[藏狐],2026-03-19 07:15:56,0,0,,天津,是,https://i0.hdslb.com/bfs/face/e8b53c18ef5dc43a94031b65bed6ecd861fa0cf8.jpg
93,292064017793,293688328145,345945568,奇树奇树奇奇奇述,5,男,建议能找到还行的厂子就出来工作，现在ai冲击下真不知道三年吼会怎么样,2026-03-21 03:26:50,0,0,,浙江,否,https://i1.hdslb.com/bfs/face/89b6491bc597cdef170184f2a1820f7900e22607.jpg
94,292064017793,296448103040,1530899900,雾茫茫曲终散,5,保密,不是哥们陕西有末九吗,2026-03-23 12:57:46,0,0,三生七世，永堕阎罗。只为情故，虽死不悔,陕西,是,https://i2.hdslb.com/bfs/face/ecdb2292a3ae2523aa0cc7be6a6a12a99fdf52a3.jpg
95,0,293854786017,1638868,MS-06F大爵子,6,保密,在阿里，移动咪咕，腾讯都干过，现在在腾讯做游戏导游，相对比腾讯是我干的最爽的地方。在阿里我遇到过业务对接人P级比我高当场关电脑说让我上级来找他的离谱人物。移动咪咕更是重量级，一个国企说自己是互联网公司，从上到下都在糊弄，当时在元宇宙的部门，结果研发搞不明白unity引擎，只能说移动集团还是太有钱了可以随便造。腾讯不管是工作氛围还是业务产出都让我觉得很受尊重。当然也看部门和团队，靠谱的团队真的看运气。,2026-03-22 12:22:07,2,51,音乐，文学，电影和宇宙,江苏,是,https://i1.hdslb.com/bfs/face/0a51c34d97fa71a9efb3c96bc70e07c918ea20fc.jpg
96,293854786017,293864654801,526598,一只卡斯特,6,保密,我听说咪咕是某太子爷搞出来的玩意。。我对这玩意的印象就是送的毫无卵用的东西,2026-03-22 13:59:25,0,7,南山喵啊喵~,浙江,是,https://i2.hdslb.com/bfs/face/12f7ac3887bc054fa665fde69e5886132c5f3103.jpg
97,293854786017,294174740721,29002795,MrGlove,6,男,有很近的亲戚在腾讯工作，说是T1互联网公司里面，腾讯的wlb已经是相对最好的了。虽然也有隐性的绩效考察（当然这是无可避免的），但是其他几家是明晃晃拿到台面的。所以目前来看T1国内互联网企业腾讯算是比较好的去处了。剩下几家给钱是真多（腾讯也不少），但是压榨那也真是不开玩笑。,2026-03-25 20:13:12,0,1,奇世俗人,新加坡,否,https://i1.hdslb.com/bfs/face/6605e31d28e9266501ee4cfddf40e49a7538a4ab.jpg
98,0,291920103585,25362296,飞翔的五对负重轮,6,男,播了一半我才意识到你用的是ppt,2026-03-03 02:19:10,13,2082,,美国,否,https://i2.hdslb.com/bfs/face/55290bd39332664ebb8190278a2408563c36ca67.jpg
99,291920103585,292019433617,2069970171,多特蒙德最后的美羊羊,6,男,笑飞了哈哈哈哈哈哈,2026-03-03 20:10:33,0,198,彩笔码农,中国香港,是,https://i0.hdslb.com/bfs/face/a825d6c0884e39005cdfb5a61e3ebff73547f812.jpg
100,291920103585,294645444512,475040601,八心八箭烤地瓜,5,保密,哈哈哈哈哈哈哈,2026-03-06 12:56:46,0,10,??,陕西,是,http://i0.hdslb.com/bfs/face/570cea7924a438daac128552f3fee32f572ca86a.jpg
101,291920103585,294913531216,174547930,霉干菜扣肉GLvX,6,男,哈哈哈哈哈哈哈哈哈哈哈哈，你不说我都没意识到,2026-03-08 21:22:42,0,8,逃宝搜民俗羽体育，羽球底价（关店中）,江苏,否,https://i1.hdslb.com/bfs/face/0be81f3f6db969bd10cfbdbf4b7973128edb79a2.jpg
102,291920103585,294979715616,498301449,ldxhhDavid,5,保密,一般用什么 怎么看出来是PPT的 求解答谢谢,2026-03-09 13:13:26,0,49,ldxhh,河北,否,https://i0.hdslb.com/bfs/face/99e2b5d17700a42967a7b4767a6d690cb3e4c2ba.jpg
103,294979715616,292598458417,33705264,阿飘windy,6,保密,回复 @ldxhhDavid :他那个图标跳出来的动画是ppt的默认动画[笑哭]，没说我都没反应过来,2026-03-09 14:36:28,0,216,樱岛麻衣天下第一,上海,是,https://i0.hdslb.com/bfs/face/1d691608cee6f99c3b805ec38c69eab0cf9b37e5.jpg
104,294979715616,295073039712,403344701,不予妄求,5,保密,回复 @ldxhhDavid :Ppt能做视频知道不哈哈哈,2026-03-10 12:52:54,0,19,搞电子的 现已自由,山东,否,https://i2.hdslb.com/bfs/face/34c16a8ae49b2065edd4a45816da71c3c31504bc.jpg
105,295073039712,295595684176,1897273128,嚣淆晓,5,保密,回复 @不予妄求 : 我突然想起来之前见过一个老哥拿ppt做的游戏[笑哭],2026-03-15 12:14:41,0,8,,河南,否,https://i0.hdslb.com/bfs/face/f0e7dd57ea8b5943580a15dbc85fe3dc5ade6f91.jpg
106,292598458417,295659378928,333902321,柠檬加醋心好酸_,6,男,回复 @阿飘windy :其实前第二十秒就能看出来了[大笑],2026-03-16 05:00:12,0,4,一个死宅,山东,否,https://i2.hdslb.com/bfs/face/c289ae536ef98adf20a7bf9a11dd7b4775a01987.jpg
107,291920103585,295670916784,428360239,假的姐姐,6,男,上面还有个鼠标[笑哭],2026-03-16 07:32:46,0,4,随缘更新,江苏,是,https://i1.hdslb.com/bfs/face/647172aad0f95531d6109f09a996a298f04eb21a.jpg
108,291920103585,295697026480,3493288283736915,锰钬,6,保密,一看就是公司报告用ppt习惯了,2026-03-16 12:07:45,0,19,做kards同人游戏和DIY的,广东,否,https://i0.hdslb.com/bfs/face/babad8d2baa4e95a1e0aa1c3694c26b6277360e8.jpg
109,294979715616,295767674608,669808631,雪莉一拳打死爱玛,5,保密,回复 @ldxhhDavid : nb,2026-03-17 06:22:40,0,0,,江苏,是,https://i2.hdslb.com/bfs/face/cf35cbac3542df693f20e7d5e6a54f0b043f206b.jpg
110,291920103585,296084144672,35300217,世外不另外加糖,6,保密,弹跳,2026-03-20 09:00:23,0,0,,上海,是,https://i0.hdslb.com/bfs/face/1944962a504e9cb1a98c11b9e7aee5ef33736f21.jpg
111,294979715616,293858892881,1408993085,落落浮笙,5,保密,回复 @ldxhhDavid :抖音图标出来那个弹跳动画,2026-03-22 13:01:48,0,0,,上海,否,https://i2.hdslb.com/bfs/face/b48c0b2c44ba6cbba2cd0456ca98654ad5245005.jpg
112,0,292484755905,3546772500646287,此地不宜久留69,4,保密,不是清北华五 能去一直面试上这三个企业吗？,2026-03-08 10:41:39,14,75,刑不可知，则威不可测,湖北,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
113,292484755905,294878997440,333708720,-问天-_-,6,男,985 有能力的肯定行啊,2026-03-08 12:41:20,0,69,我忘却所有悲剧，所见皆是奇迹,广东,是,https://i0.hdslb.com/bfs/face/fb9fcf69208808d9ee18f9dd9794084180f983f1.jpg
114,292484755905,294899789632,13238124,暴躁段段在线学习,6,保密,一方面看岗位 一方面看过往的实习经历 一方面看bu缺人不缺人 亲测3影响最大,2026-03-08 15:58:40,0,10,,浙江,否,http://i2.hdslb.com/bfs/face/98bb55070019f24e808d8f38cdd3774a0bf15477.jpg
115,292484755905,294972327136,1450420,杜野凛世不吃晚饭,6,保密,环境＞BG＞＞实习经历,2026-03-09 11:57:43,0,6,饿了//社畜随性汉化，有问题请私信,上海,否,https://i1.hdslb.com/bfs/face/144f43c849f2023ed44a4b933ee868511d0ae31a.jpg
116,292484755905,294989586080,13152323,超级小凯,6,保密,第一段看运气，后面靠第一段左脚踩右脚。技术岗学历211以上+算法好，去字节缺人的组还是不难的，有了字节背书给第一段包装一下，第二段也好找了。,2026-03-09 14:51:14,0,52,这个人很神必，什么都没有写,北京,是,https://i2.hdslb.com/bfs/face/3de5fbc721006888a1356d8ffe6a6095b1350e67.jpg
117,294972327136,292670465905,3546772500646287,此地不宜久留69,4,保密,回复 @杜野凛世不吃晚饭 :感觉背景大于环境吧，7校不缺好offer,2026-03-10 11:39:45,0,2,刑不可知，则威不可测,湖北,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
118,292484755905,292868966849,686919060,互联网史书,5,男,互联网大部分岗对学历要求没那么高的。。。,2026-03-12 14:52:17,0,2,那么喜欢搞单向可见，你为啥不直接给我搞成单机版的？,浙江,否,https://i0.hdslb.com/bfs/face/f92cc25ef55e2e0d31846b9f67bb27bccc9b60e3.jpg
119,292868966849,292894064577,3546772500646287,此地不宜久留69,4,保密,回复 @互联网史书 :对比国央企来说确实是这样，不过互联网也是最卷的工科，好企业 高学历的太多了。,2026-03-13 01:17:49,0,2,刑不可知，则威不可测,湖北,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
120,292484755905,295941808976,1736493640,goodvvin,3,保密,外企不懂就不说了，阿里会比较卡学历，腾讯字节其实还好，211科班以上都是有机会的，强势双非比如那几个所邮电学校或者广工深大这种每年也有去腾讯字节的，还是看个人水平吧，清北混子来面试不也过不了,2026-03-18 23:35:03,0,1,,广东,否,https://i1.hdslb.com/bfs/face/bf12cf8e04684018d7585c444d94efd57846aab7.jpg
121,292484755905,296005194272,296858329,dxdzdy,5,保密,除了阿里云，手机厂，华为还有tplink这种会卡学历，其他无所谓,2026-03-19 12:48:15,0,0,,江苏,否,https://i1.hdslb.com/bfs/face/8e266c5d3610476931f8ed52cfefe7ea4c150ad5.jpg
122,292484755905,296083115264,382104903,Darknife-粒子,6,男,我认识大专进腾讯的，主要还是工作方向本身注重能力而非学历+个人能力强,2026-03-20 08:49:06,0,1,111大哥真教吗,北京,否,https://i0.hdslb.com/bfs/face/a5450ffd20c7d2cce8d4a2d6eb00c6d8aaaf96ef.jpg
123,292484755905,293664197041,18330680,矿泉水瓶会喝水吗,6,保密,双非，tiktok实习半年，马上去apple。全是ai相关rd岗。,2026-03-20 18:07:51,0,0,做最好的QQ糖。,美国,是,https://i2.hdslb.com/bfs/face/0598a3a0cd9afbe5558e9b176048d0db9ef7e88a.jpg
124,293664197041,293706461153,400223893,goddess丶,6,保密,回复 @矿泉水瓶会喝水吗 : 想去apple这种外企英语是不是很重要呀,2026-03-21 06:35:46,0,0,凯伊姆桑~,福建,否,https://i1.hdslb.com/bfs/face/c7471f9ba22626e7b38462e9de0ffbe767f9640e.jpg
125,293706461153,293750500369,18330680,矿泉水瓶会喝水吗,6,保密,回复 @goddess丶 :最基本的。如果只要英语美国人可以随便进了。,2026-03-21 13:48:00,0,0,做最好的QQ糖。,美国,是,https://i2.hdslb.com/bfs/face/0598a3a0cd9afbe5558e9b176048d0db9ef7e88a.jpg
126,292484755905,294008361361,3706929402611794,电力电子曼波,2,男,大厂技术够就行，外企卡学历,2026-03-24 05:14:25,0,0,一只分享电力电子技术的曼波。,安徽,否,https://i1.hdslb.com/bfs/face/420996b5e9844f7f70dc80bc5ba3fc2838af6b9b.jpg
127,0,292617335009,20014972,远坂凛的男朋友啊,6,男,面试体验个人排名腾讯 > 字节。腾讯一轮流程下来就offer了。字节那面试就折磨的一比。第一次主动投简历挂了之后，之后每隔几个星期不同部门的HR都会把我从池子里面捞起来，每次面完2面挂。(小声BB：不招别捞),2026-03-09 21:11:03,11,443,,美国,是,http://i1.hdslb.com/bfs/face/3ae8eb88bba29f0290bb81b1c95b70f8d40cc332.jpg
128,292617335009,292708378321,349549964,TonyZhangXX,5,男,我室友说被字节乱踢死,2026-03-10 23:03:44,0,95,,美国,否,https://i2.hdslb.com/bfs/face/a2cd4dff4dff553ea6f4fe653a04a581610d4ac7.jpg
129,292617335009,292817326161,1712508265,Zustra,4,保密,求bg，我也眼馋国内腾讯,2026-03-12 04:33:03,0,5,,美国,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
130,292708378321,295277300336,412906523,盗贼鼠鼠,6,保密,回复 @TonyZhangXX :字节面试超级难，算法题难，场景复杂，八股都是挑最难的我感觉[大哭],2026-03-12 14:44:29,0,26,,广东,否,https://i2.hdslb.com/bfs/face/8452e585e6df68cee0a6c050801c42ccae216722.jpg
131,295277300336,295300023664,42479213,IntelCEO大马脸,6,保密,回复 @盗贼鼠鼠 :我面的整体感觉字节问的八股和算法挺常规的，反而每次藤子的面试官把每个八股的点往最深处挖,2026-03-12 23:38:55,0,4,,美国,是,https://i2.hdslb.com/bfs/face/89096e22c230ad4fe0023f7b8d2d3f23096b80e3.jpg
132,292817326161,292890426513,20014972,远坂凛的男朋友啊,6,男,回复 @Zustra :我是做图形学方面的。有个做了2年的开源项目。然后把我招进去的组是做游戏引擎工具链的。我那个项目和他们的挺匹配的。当时面试也主要聊我那个项目,2026-03-13 00:02:15,0,5,,美国,是,http://i1.hdslb.com/bfs/face/3ae8eb88bba29f0290bb81b1c95b70f8d40cc332.jpg
133,292890426513,292891403601,1712508265,Zustra,4,保密,回复 @远坂凛的男朋友啊 :我的妈打扰了，你这个领域太硬了🫡,2026-03-13 00:25:30,0,4,,美国,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
134,292891403601,292962537201,20014972,远坂凛的男朋友啊,6,男,回复 @Zustra :还好了。其实我知道的好几个组都缺人的。有些组给转正hc都不留下人。腾讯这池子挺讲运气的，刚好看到你了把你捞起来，觉得你合适了就没问题了。（不过头部那些部门比如天美，微信确实难）,2026-03-13 14:39:07,0,6,,美国,是,http://i1.hdslb.com/bfs/face/3ae8eb88bba29f0290bb81b1c95b70f8d40cc332.jpg
135,292890426513,295680218976,455752138,FOR-ELYSIA,6,男,回复 @远坂凛的男朋友啊 :好奇大佬是什么方向的？我感觉我现在搞3D图形匹配什么的明年毕业了担心找不到工作[笑哭],2026-03-16 09:25:50,0,1,"一个人，要走多远的距离，才能在时光的尽头，追回最初的自己。
Life is too long to end at a grave.",吉林,否,https://i1.hdslb.com/bfs/face/deb2607db419cee67ae0e802969bcbc4df2e2b09.jpg
136,292617335009,293322517265,432105370,不想被祂玩坏了,5,保密,字节要面试五轮，早点挂挺好的,2026-03-17 06:30:48,0,2,"余与同舍诸君子，哀斯墓之徒有其石也，而为之记，亦以明死生之大，匹夫之有重于社稷也。
",江西,否,https://i1.hdslb.com/bfs/face/6b6f4ef2e5605c6bbe28cb2b5e44896ccc215fc9.jpg
137,295277300336,295823585104,690460943,风里雨里看月柳,5,保密,回复 @盗贼鼠鼠 :字节面试官太不友好了我也是这种感觉,2026-03-17 16:05:39,0,2,,美国,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
138,292617335009,295867241376,1804248949,繁至道小,5,保密,之前面对wxg，贼深，一直深挖业务，字节是很典型的八股厂。,2026-03-18 05:44:20,0,1,,美国,是,https://i1.hdslb.com/bfs/face/6f856a460dfb1b922e97ecda51badb8c4eb08f82.jpg
139,0,291915036545,7554061,凯斯迈,6,男,下次来我司实习看看吧哈哈,2026-03-03 01:13:03,16,178,已经从斯坦福毕业现在在Google摸鱼的超级鸽子up主,美国,是,https://i1.hdslb.com/bfs/face/7da1bb255fe8495223c569df204ba22cdafaeea4.jpg
140,291915036545,294280011968,3546705232398641,O__j,3,保密,吓哭了,2026-03-03 06:57:23,0,40,普通人,上海,否,https://i2.hdslb.com/bfs/face/41b47f23a34471407457252fdf1a5e0e8abefb04.jpg
141,291915036545,294285260704,354096445,kyleJKC,6,男,听说你们的食堂不错,2026-03-03 07:48:06,0,9,究极什锦区UP，点个关注呗,美国,否,https://i1.hdslb.com/bfs/face/791ee881f4e63b2afd4f6997d64749f1325a6d0f.jpg
142,291915036545,294302367232,3461565365881129,学长的数学,4,保密,哈哈，谷歌又来挖的墙角了[doge],2026-03-03 10:15:02,0,105,,河南,否,https://i1.hdslb.com/bfs/face/778a5754628babcfdbb80f9d0cdae194196f2ea5.png
143,291915036545,291972858097,646277175,VFlandre,6,女,吓哭了,2026-03-03 11:02:54,0,6,ひたむきに、涼やかに,四川,否,https://i0.hdslb.com/bfs/face/a7baa43e4445845c842d22551a0f81f2c951768c.jpg
144,291915036545,294337991952,1984454905,烟鬼TCS,6,男,我也想去，可惜我是安卓人,2026-03-03 15:07:34,0,29,"SO FAR SO GOOD
SO FAR SO GONE",宁夏,是,https://i1.hdslb.com/bfs/face/97290a8f6134dcefdaac482eb84a65ec629f9888.jpg
145,291915036545,292019497457,674301584,我和边牧比智商,5,保密,NG team match可以捞吗？（狗头,2026-03-03 20:09:39,0,1,,美国,是,https://i2.hdslb.com/bfs/face/44a72f374eb93f9ddd2eb24ffb6317deec49d3ee.jpg
146,291915036545,294480467728,289416048,MicoMicoMiii,5,保密,给个内推[大哭],2026-03-05 00:59:37,0,3,No u,荷兰,是,https://i0.hdslb.com/bfs/face/ade5f4bd82e0bf070b2a22a4c11675a1347be49d.jpg
147,291915036545,292678414881,276868656,我爱学习喵,5,保密,？招人我就去,2026-03-10 13:03:55,0,0,,江西,是,http://i0.hdslb.com/bfs/face/331651be78888e83bff6fe37b4b5b9f40aeedea5.jpg
148,292019497457,292725184209,7554061,凯斯迈,6,男,回复 @我和边牧比智商 :建议在linkedin上找各种manager，我还不是manager而且我们目前也没hc[喜极而泣],2026-03-11 04:05:53,0,3,已经从斯坦福毕业现在在Google摸鱼的超级鸽子up主,美国,是,https://i1.hdslb.com/bfs/face/7da1bb255fe8495223c569df204ba22cdafaeea4.jpg
149,291915036545,293134836177,597724469,君莫厌_,6,男,真有吗,2026-03-15 06:52:40,0,0,威权式民主，国家主导战略产业，政府纠正市场，以经济建设为中心，坚持四项基本原则，坚持改革开放,新加坡,否,https://i2.hdslb.com/bfs/face/c2635ff5364e20d31a62aecaadc577def8d53bb5.webp
150,294337991952,295601390480,3494358653340225,梅维斯永远118岁,3,保密,回复 @烟鬼TCS :我想当安卓人,2026-03-15 13:09:25,0,1,,广东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
151,291915036545,293437444721,500924366,中奖了吗,5,保密,吓哭了,2026-03-18 11:04:41,0,0,我不美死(*^@^*),福建,是,https://i2.hdslb.com/bfs/face/dc66b16102a4cfa2825c918ccec59c5708996dc9.jpg
152,294337991952,296050493584,514165444,巴州不醒人氏,5,保密,回复 @烟鬼TCS : 安卓不就是谷歌捣鼓出来的吗？这不得上班像回家啊,2026-03-20 02:08:16,0,1,,福建,否,https://i1.hdslb.com/bfs/face/13b53c77e288a00d6757817e5d9a2cb2aef74135.jpg
153,291915036545,296388712736,385456842,rechelieu2,5,保密,草看了下id，我好像在ucla膜ha群加过你[doge_金箍],2026-03-23 01:15:51,0,0,,美国,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
154,296388712736,293902838081,7554061,凯斯迈,6,男,回复 @rechelieu2 :太草了我想起来那个群了,2026-03-23 02:40:32,0,0,已经从斯坦福毕业现在在Google摸鱼的超级鸽子up主,美国,是,https://i1.hdslb.com/bfs/face/7da1bb255fe8495223c569df204ba22cdafaeea4.jpg
155,291915036545,296629519920,513998339,bili_58239924997,4,保密,数通方向的招吗,2026-03-25 08:54:25,0,0,,山东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
156,0,295280820848,515115311,西隆SaMa,6,保密,我这边公司是全市唯一一家抖音认证做抖音本地化之类的公司，本科率不足20%，大部分都是大专还带几个中专，干的活初中毕业了的人来了一两周也能熟悉,2026-03-12 15:19:55,7,15,随心,江苏,否,https://i2.hdslb.com/bfs/face/5a08c8d7279f275b9aa4946bc55dfb43849d52d1.jpg
157,295280820848,295791670944,153906129,半岛烟火,6,男,还缺人吗哥[喜欢]明年硕士毕业,2026-03-17 11:05:19,0,1,别查成分了，就当我玩原神玩的,江苏,否,https://i0.hdslb.com/bfs/face/434b3702a16d8b3bb2c818ec89530d6441f2ab6a.jpg
158,295791670944,296047559440,43440133,阿拉巴啦啦啦,6,保密,回复 @半岛烟火 : 兄弟这又不是抖音，这只是个合作方。大概率是一些客服运营的工作确实也只需要专科的人就能干，这只是跟抖音合作又不是抖音公司，你都快硕士毕业了这都分不清,2026-03-20 01:24:56,0,7,,湖北,是,https://i1.hdslb.com/bfs/face/2138f19f92c3db255e3372398a96dd80e23ae637.jpg
159,295791670944,293651681713,1608025954,TFS6ZY,5,保密,回复 @半岛烟火 :能大专应该就尽量不招硕士了[doge_金箍],2026-03-20 15:21:43,0,4,第一次做人,山西,否,https://i1.hdslb.com/bfs/face/0651b9e255142f5865021228266e2585408d66e1.jpg
160,295791670944,296195034624,515115311,西隆SaMa,6,保密,回复 @半岛烟火 :工资太低了，你肯定不想来,2026-03-21 08:49:23,0,1,随心,江苏,否,https://i2.hdslb.com/bfs/face/5a08c8d7279f275b9aa4946bc55dfb43849d52d1.jpg
161,296195034624,293757916881,397839785,净化火焰,5,保密,回复 @西隆SaMa :工资多少,2026-03-21 14:52:52,0,0,,广东,否,https://i2.hdslb.com/bfs/face/5e05ed153f1cc68787d67447defabb3d93b33226.jpg
162,296195034624,293758052721,397839785,净化火焰,5,保密,回复 @西隆SaMa :工资多少,2026-03-21 14:52:53,0,0,,广东,否,https://i2.hdslb.com/bfs/face/5e05ed153f1cc68787d67447defabb3d93b33226.jpg
163,293758052721,296240091184,515115311,西隆SaMa,6,保密,回复 @净化火焰 :4K，虽然挺轻松的，工作量很低，但是我听工作久的同事说这两年一直在降薪,2026-03-21 15:16:23,0,1,随心,江苏,否,https://i2.hdslb.com/bfs/face/5a08c8d7279f275b9aa4946bc55dfb43849d52d1.jpg
164,0,291693904625,277558785,玛巴的炫酷Mike菠萝,6,保密,腾讯总部不是在深圳吗？北京部分只是比较大的研发中心吧？,2026-03-01 03:21:59,6,80,柳州人侯俊阴关桐轮而行,广西,否,https://i0.hdslb.com/bfs/face/043b77cd753356e22907552a772fe6222875c4df.jpg
165,291693904625,291715043169,477151884,kanyuii,6,保密,应该是腾讯 北京总部,2026-03-01 06:27:51,0,67,,广东,否,https://i0.hdslb.com/bfs/face/5bd354214e7e267b434102e40f4d9c263ac61cfd.jpg
166,291715043169,291834998065,587949460,古哪古拉,5,保密,回复 @youkanni : 腾讯老本家在深圳，谁告诉你总部在北京的,2026-03-02 07:36:58,0,4,,广东,是,https://i1.hdslb.com/bfs/face/127b810de4646b61948bcde1afd5b344f7dd7690.png
167,291834998065,291841709121,477151884,kanyuii,6,保密,回复 @古哪古拉 :回覆 @古哪古拉 :是北京的总部[笑哭]我就在隔壁百度上班我不知道嘛,2026-03-02 08:51:43,0,64,,广东,否,https://i0.hdslb.com/bfs/face/5bd354214e7e267b434102e40f4d9c263ac61cfd.jpg
168,291841709121,291854063441,587949460,古哪古拉,5,保密,回复 @youkanni : 不好意思我理解错了，我理解成全国的总部了[委屈],2026-03-02 10:45:54,0,4,,广东,是,https://i1.hdslb.com/bfs/face/127b810de4646b61948bcde1afd5b344f7dd7690.png
169,291693904625,292179944225,24919153,风铃Miki,6,男,腾讯视频基本在北京，还有很多算法岗在北京（其他厂跳槽方便）,2026-03-05 12:40:26,0,2,诗酒趁年华,江西,是,https://i1.hdslb.com/bfs/face/03e6eed6a4fed56d4e9ca5704327cd204dc8cc34.jpg
170,291693904625,295230310208,20360706,ZhyLancelot,6,男,你实习就知道了，北京和深圳的都叫总部,2026-03-12 05:49:30,0,2,猜猜我是谁⊙ω⊙,美国,是,https://i0.hdslb.com/bfs/face/c5c5edd45ca784aef0d42dfb784a26dfcdd1cb79.jpg
171,0,294338963856,3194822,想去看極光,6,保密,前几年班上同学到tx实习 加班到晚上倒贴钱打车回家[笑哭][笑哭],2026-03-03 15:14:40,8,168,海粼猫猫,广东,否,https://i2.hdslb.com/bfs/face/c016a7dfe178d53ee26ab62ec6dc9d34f4c4e08f.jpg
172,294338963856,292105534689,2006600588,Amor568,5,男,一般大厂加班到多少点之后不都报销打车吗？[辣眼睛],2026-03-04 15:54:16,0,49,,上海,否,https://i2.hdslb.com/bfs/face/b3ab4cfee245a40cf302812e228ae24a35963452.jpg
173,292105534689,294457378160,3194822,想去看極光,6,保密,回复 @Amor568 :可能实习生没这待遇吧 不太清楚 也是听舍友说的,2026-03-04 16:13:46,0,43,海粼猫猫,广东,否,https://i2.hdslb.com/bfs/face/c016a7dfe178d53ee26ab62ec6dc9d34f4c4e08f.jpg
174,292105534689,294489216688,402284936,CodiVFX,5,保密,回复 @Amor568 : tx那边的话实习生确实不能自己提交打车报销申请，但是我记得可以让正编同事帮忙提交报销申请,2026-03-05 03:03:10,0,56,UE游戏特效师    交流群：743166590,中国香港,是,https://i2.hdslb.com/bfs/face/7ada72bc309e0a74ed95465349c7b4e5c551b3f2.jpg
175,294457378160,294489118704,402284936,CodiVFX,5,保密,回复 @想去看極光 : tx那边的话实习生确实不能自己提交打车报销申请，但是我记得可以让正编同事帮忙提交报销申请,2026-03-05 03:03:24,0,14,UE游戏特效师    交流群：743166590,中国香港,是,https://i2.hdslb.com/bfs/face/7ada72bc309e0a74ed95465349c7b4e5c551b3f2.jpg
